,Month,DayofMonth,DayOfWeek,DepTime,UniqueCarrier,Origin,Dest,Distance,dep_delayed_15min
0,c-8,c-21,c-7,1934,AA,ATL,DFW,732,N
1,c-4,c-20,c-3,1548,US,PIT,MCO,834,N
2,c-10,c-7,c-6,1828,WN,MDW,OMA,423,Y
3,c-8,c-3,c-4,1918,NW,MEM,MCO,683,N
4,c-6,c-20,c-2,2029,OO,DEN,PSC,853,N
5,c-3,c-5,c-7,1205,WN,PHX,STL,1262,N
6,c-9,c-20,c-2,1642,MQ,DSM,ORD,299,N
7,c-9,c-19,c-2,1801,CO,CMH,IAH,986,N
8,c-7,c-26,c-2,620,DL,ORF,ATL,516,N
9,c-10,c-14,c-5,1704,OO,SLC,SEA,689,Y
10,c-8,c-22,c-2,1521,AA,CLT,DFW,936,N
11,c-12,c-31,c-6,1837,DL,ATL,MSP,906,N
12,c-4,c-4,c-1,635,WN,SMF,PHX,647,N
13,c-7,c-3,c-7,1350,AA,FLL,LGA,1076,N
14,c-4,c-16,c-7,1235,WN,DAL,AUS,189,N
15,c-5,c-31,c-3,1513,MQ,ORD,SYR,607,N
16,c-8,c-30,c-3,610,YV,ITO,HNL,216,N
17,c-5,c-9,c-1,1327,AA,DFW,ORF,1213,N
18,c-12,c-3,c-7,1653,EV,ATL,MYR,317,Y
19,c-3,c-24,c-4,2303,US,CLT,CHS,168,Y
20,c-5,c-6,c-5,1728,WN,SAN,SMF,480,Y
21,c-5,c-5,c-4,650,EV,ROA,ATL,357,N
22,c-7,c-9,c-6,747,MQ,ORD,MEM,491,N
23,c-9,c-20,c-2,707,MQ,SFO,SNA,372,N
24,c-7,c-15,c-5,1144,F9,DEN,PHL,1557,N
25,c-3,c-10,c-4,742,UA,DFW,ORD,802,N
26,c-4,c-12,c-2,1913,MQ,LIT,DFW,304,N
27,c-10,c-20,c-5,2312,AQ,OAK,LAS,407,Y
28,c-9,c-9,c-6,1520,YV,SEA,PHX,1107,Y
29,c-7,c-24,c-7,1050,OH,OKC,CVG,756,N
30,c-8,c-14,c-1,1519,TZ,PHX,OGG,2845,N
31,c-2,c-15,c-2,1527,MQ,DFW,ABI,158,N
32,c-3,c-17,c-4,551,UA,GRR,ORD,137,N
33,c-7,c-21,c-4,1405,HP,SJC,LAS,386,N
34,c-12,c-1,c-4,1854,B6,JFK,PHX,2153,N
35,c-9,c-5,c-2,1831,FL,ATL,MSP,906,Y
36,c-10,c-28,c-5,658,CO,ORD,EWR,719,N
37,c-1,c-18,c-3,1830,DL,ATL,MEM,332,N
38,c-4,c-19,c-2,1519,DL,MCI,ATL,692,N
39,c-1,c-27,c-5,1435,WN,BWI,PVD,328,N
40,c-10,c-3,c-2,827,F9,DEN,SFO,967,N
41,c-9,c-4,c-7,1645,WN,SAT,DAL,248,N
42,c-4,c-8,c-6,631,XE,PHL,CLE,363,N
43,c-6,c-5,c-7,1436,US,ORF,PHL,211,N
44,c-6,c-6,c-2,1932,UA,DEN,DTW,1123,Y
45,c-7,c-2,c-7,700,NW,MSP,LAS,1300,N
46,c-12,c-10,c-7,813,WN,DAL,SAT,248,N
47,c-12,c-14,c-4,1809,WN,STL,SLC,1156,N
48,c-12,c-15,c-4,1230,WN,BOI,RNO,335,N
49,c-5,c-15,c-1,1430,OO,CIC,SFO,153,N
50,c-4,c-27,c-4,557,AA,LGA,ORD,733,N
51,c-10,c-22,c-6,1248,HA,HNL,SMF,2462,N
52,c-6,c-16,c-4,1345,WN,RNO,PDX,444,Y
53,c-2,c-14,c-2,907,NW,DFW,DTW,987,N
54,c-10,c-27,c-4,1907,F9,DEN,DFW,641,N
55,c-1,c-28,c-5,2135,WN,BNA,TPA,612,N
56,c-5,c-9,c-1,758,AA,MIA,JFK,1090,N
57,c-12,c-16,c-6,955,OO,SLC,FCA,532,N
58,c-5,c-10,c-3,1514,XE,PNS,IAH,489,N
59,c-7,c-21,c-4,1046,WN,SAN,SJC,417,Y
60,c-1,c-14,c-6,937,US,EWR,CLT,529,N
61,c-2,c-3,c-5,1920,WN,LAX,PHX,370,Y
62,c-4,c-16,c-7,1913,US,CLT,BUF,546,N
63,c-12,c-24,c-6,1819,CO,IAH,OKC,395,N
64,c-9,c-7,c-4,1922,AS,SEA,ANC,1449,Y
65,c-6,c-4,c-7,2126,UA,DEN,LAX,862,N
66,c-12,c-13,c-3,1953,YV,JFK,IAD,228,Y
67,c-10,c-24,c-2,1557,DL,ATL,SAN,1891,N
68,c-5,c-8,c-7,1004,AS,ONT,SEA,956,N
69,c-4,c-25,c-2,1806,AS,OAK,SEA,671,N
70,c-12,c-13,c-3,1547,MQ,LAX,SBA,89,N
71,c-12,c-9,c-6,945,YV,PHX,GJT,438,N
72,c-3,c-10,c-5,848,UA,MSP,DEN,680,N
73,c-3,c-30,c-4,2120,AA,LAX,MIA,2342,N
74,c-12,c-23,c-6,604,UA,SFO,DEN,967,N
75,c-9,c-16,c-5,843,AA,ORD,DEN,888,Y
76,c-5,c-23,c-1,1540,OH,CID,CVG,419,N
77,c-11,c-26,c-7,646,OO,ORD,FWA,157,N
78,c-8,c-7,c-7,933,DL,RSW,ATL,515,N
79,c-8,c-17,c-3,1317,MQ,ORD,SYR,607,N
80,c-9,c-4,c-7,1733,AS,DCA,SEA,2329,N
81,c-3,c-17,c-5,1657,CO,PHX,IAH,1009,Y
82,c-3,c-4,c-5,645,MQ,SAN,LAX,109,N
83,c-5,c-26,c-5,1636,UA,ORD,BDL,783,N
84,c-1,c-2,c-7,1717,UA,DEN,BOI,649,N
85,c-2,c-24,c-5,830,UA,ONT,DEN,819,N
86,c-6,c-10,c-6,1619,EV,GSP,CVG,317,Y
